game_id,queen_w,rooks_w,bishops_w,knights_w,pawns_w,queen_b,rooks_b,bishops_b,knights_b,pawns_b
8hvLQQck,0,0,0,0,0,0,0,0,0,0
nOFBpuee,0,0,0,0,0,0,0,0,0,0
SQ3zFS2A,0,0,0,0,0,0,0,0,0,0
ziLuT2Zu,0,0,0,0,0,0,0,0,0,0
zVy8vSUY,0,1,0,0,0,0,0,0,0,0
8BnZZrh0,0,0,0,0,0,0,0,0,0,0
AC29Y0QZ,0,0,0,0,0,0,0,0,0,0
baG5BS57,1,0,0,0,0,0,0,0,0,0
mqM87okc,0,0,0,0,0,1,0,0,0,0
EFpW3vx0,0,0,0,0,0,0,0,0,0,0
chF2YRye,0,0,0,0,0,0,0,0,0,0
fcSth1NQ,0,0,0,0,0,0,0,0,0,0
QaN8gaLJ,0,0,0,0,0,0,0,0,0,0
10EBI9C4,0,0,0,0,0,0,0,0,0,0
lB9L1Abn,0,0,0,0,0,0,0,0,0,0
MansOoLs,0,0,0,0,0,0,1,0,0,0
LoOOVZAH,0,0,0,0,0,0,1,0,0,0
dl0av9d5,0,0,0,0,0,0,0,0,0,0
d4xMZOC5,0,0,0,0,0,0,0,0,0,0
1SUJUo4j,1,0,0,0,0,0,0,0,0,0
jB4sleeL,0,0,0,0,0,0,0,0,0,0
PWuWxkJ8,0,0,0,0,0,0,0,0,0,0
BVyDHuGu,0,0,0,0,0,0,0,0,0,0
Z4o7C6VA,1,0,0,0,0,0,0,0,0,0
w2KVN2FJ,0,0,0,0,0,0,0,0,0,0
WKHjbO76,0,0,0,0,0,0,0,0,0,0
1BJPxwiB,0,0,0,0,0,0,0,0,0,0
vvb55zha,0,0,0,0,0,0,0,0,0,0
zoBW3Oyj,0,0,0,0,0,0,0,0,0,0
GEJJceaa,1,0,0,0,0,0,0,0,0,0
8vnfpuvR,0,0,0,0,0,0,1,0,0,0
yixfmhXd,1,0,0,0,0,0,0,0,0,0
cbOg2FrP,0,0,0,0,0,0,0,0,0,0
8Y69IrXa,0,0,0,0,0,0,0,0,0,0
vcsWHOAV,0,0,0,0,0,0,0,0,0,0
hTRfz8s0,0,0,0,0,0,0,0,0,0,0
MCOxDajD,0,0,0,0,0,0,0,0,0,0
54JuJMX6,0,0,0,0,0,1,0,0,0,0
dXEJ3q0T,0,0,0,0,0,1,0,0,0,0
JFWVAiVf,1,0,0,0,0,0,0,0,0,0
XSullLI4,0,0,0,0,0,0,0,0,0,0
3dacepVD,0,0,0,0,0,0,0,0,0,0
6ZCAhYCy,0,0,0,0,0,0,0,0,0,0
w8o0MVwI,0,0,0,0,0,1,0,0,0,0
VHKGizoA,0,0,0,0,0,0,0,0,0,0
Jyvxvrgj,1,0,0,0,0,0,0,0,0,0
YVKh1YbC,0,0,0,0,0,0,0,0,0,0
